ActionId,-1;600;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;631
Age,0;1;2;3
AllyPlayer,1;2;3;4;5;6;7;8;my-player-number;target-player;focus-player;-101;-103;-108;-201
AnyPlayer,0;1;2;3;4;5;6;7;8;my-player-number;target-player;focus-player;-101;-102;-103;-104;-105;-106;-107;-108;-109;-110;-111;-201;-202;-203;-204;-205
BuildingId,10;12;14;18;19;20;30;31;32;45;47;49;51;68;70;71;82;84;86;87;101;103;104;109;116;129;130;131;132;133;137;141;142;153;209;210;276;463;464;465;481;482;483;498;562;563;564;565;584;585;586;587;598;611;612;613;614;615;616;618;619;620;621;624;625;626;712;713;714;715;716;717;718;719;734;1189;1251
Civ,0|18
ClassId,-1;900;901;902;903;904;905;906;907;908;909;910;911;912;913;914;915;918;919;920;921;922;923;927;930;932;933;935;936;939;942;943;944;947;949;951;952;954;955;958;959
CmdId,-1|10
ColorId,1|8
Commodity,0;1;2
compareOp,>;>=;<;<=;==;!=;c:>;c:>=;c:<;c:<=;c:==;c:!=;g:>;g:>=;g:<;g:<=;g:==;g:!=;s:>;s:>=;s:<;s:<=;s:==;s:!=
ComputerAllyPlayer,1;2;3;4;5;6;7;8;my-player-number;target-player;focus-player;-103
CustomResource,0;1;2;3;907;908;909;910;915;932;933;958
difficulty,0;1;2;3;4
DiffParameterId,0;1
ElapsedTime,1|120000
EscrowState,0|512
ESPlayerStance,0;1;3
EventID,0|255
EventType,0
ExploredState,0;15;128
FactId,0|54
FindPlayerMethod,0;1;2;3
GameType,0;1;2;3;5;6;7;8
GarrisonableUnitId,35;422;548;545;141;481;482;612;483;82;79;234;236;235
GoalId,1|512
GroupId,0|9
GroupType,100|109
Id,0|32000
IdleType,0;1;2;3
MapSize,0|5
MapType,-1;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
mathOp,0|35
MaxDistance,-1|32767
MaxGarrison,-1|32767
MinDistance,-1|32767
MinGarrison,-1|32767
ObjectData,-1|82
ObjectList,0;1
ObjectStatus,0;2;3;4;5
OnMainland,-1;0;1
OrderId,-1;700;701;702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719;720;721;731
Perimeter,1;2
PlacementType,0;1;2;3
PlayerId,0|8
PlayerStance,0;1;2;3
Point,41|510
PositionType,0|13
ProjectileType,0|7
ResearchState,0;1;2;3
Resource,0;1;2;3
ResourceAmount,0|224
SearchOrder,0;1;2
SearchSource,1;2
SharedGoalId,1|256
SignalId,0|255
SnId,0;1;2;3;5;16;18;19;20;22;23;25;26;28;29;32;34;35;36;38;41;42;43;44;50;51;52;54;56;57;72;73;74;75;77;78;79;80;81;82;83;86;87;88;89;90;92;93;94;98;99;100;101;103;104;105;106;107;108;109;110;114;115;117;118;119;120;122;123;131;134;138;139;140;141;142;143;144;145;146;148;149;156;157;158;159;160;163;164;165;166;167;168;169;179;184;185;194;198;201;202;203;204;216;218;219;225;226;227;228;229;230;231;232;233;234;235;237;238;239;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;291;292;293;294;295
StartingResources,1;2;3
State,-1;0;1
Strict,0;1
TauntId,1|255
TechId,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;21;22;23;24;27;34;35;37;39;45;47;48;49;50;51;52;54;55;59;60;61;63;64;67;68;74;75;76;77;80;81;82;83;90;93;96;98;100;101;102;103;140;182;194;197;199;200;201;202;203;207;209;211;212;213;215;217;218;219;221;222;230;231;233;236;237;239;244;246;249;252;254;255;257;264;265;278;279;280;315;316;319;320;321;322;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;379;380;398;408;428;429;432;434;435;436;437;438;439;440;441;445;448;450;457
Terrain,0|41
TimerId,1|50
TimerState,0;1;2
typeOp,c:;g:;s:
UnitId,-299;-298;-297;-296;-295;-294;-293;-292;-291;-290;-289;-288;-287;-286;-285;-284;-283;-282;-281;-280;-279;-278;-277;-276;-275;-274;-273;-272;-271;-270;-269;-268;-267;-266;-265;-264;-1;4;5;6;7;8;11;13;17;21;24;25;35;36;38;39;40;41;42;46;56;57;73;74;75;77;83;93;106;114;118;120;122;123;124;125;128;156;183;184;185;203;204;207;208;212;214;216;218;220;222;223;230;232;239;250;259;260;279;280;281;282;283;286;291;293;329;330;331;354;358;359;418;420;422;440;441;442;448;453;459;467;473;474;492;494;527;528;529;530;531;532;533;534;539;542;545;546;548;553;554;555;556;557;558;559;560;561;567;569;579;581;588;590;592;653;691;692;694;701;725;726;732;751;752;753;755;757;759;760;761;762;763;765;766;771;773;774;775;782;784;811;823;827;829;830;831;832;836;861;866;868;869;871;873;875;876;878;879;881;882;886;887;891;900;901;902;903;904;905;906;907;908;909;910;911;912;913;914;915;918;919;920;921;922;923;927;930;932;933;935;936;939;942;943;944;947;949;951;952;954;955;958;959
UnitIdStrict,4;5;6;7;8;11;13;17;21;24;25;35;36;38;39;40;41;42;46;56;57;73;74;75;77;83;93;106;114;118;120;122;123;124;125;128;156;183;184;185;203;204;207;208;212;214;216;218;220;222;223;230;232;239;250;259;260;279;280;281;282;283;286;291;293;329;330;331;354;358;359;418;420;422;440;441;442;448;453;459;467;473;474;492;494;527;528;529;530;531;532;533;534;539;542;545;546;548;553;554;555;556;557;558;559;560;561;567;569;579;581;588;590;592;653;691;692;694;701;725;726;732;751;752;753;755;757;759;760;761;762;763;765;766;771;773;774;775;782;784;811;823;827;829;830;831;832;836;861;866;868;869;871;873;875;876;878;879;881;882;886;887;891
value256,0|255
value32,-32768|32767
value32Positive,1|32767
Victory,0;1;2;3;4
WallId,72;117;155;-399
RuleId,0|32767
PriorityType,0;1
ResetMode,0;1
OnOff,0;1
ObjectId,UnitId;BuildingId
ScoutMethod,0;1;2;3;4;5;6
AttackStance,0;1;2;3
TargetAction,0|18
Formation,-1;2;4;7;8
